id\tlabel\taccent\tsource_url\tlicense\tsha256
karen_savage2\tKaren Savage 2\tEnglish, Received Pronunciation\thttps://raw.githubusercontent.com/OwenTyme/voice-zero/main/voices/karen_savage2.flac\tCC0\tbb92bc05208cd4e8448ad4c824bc4790175e07528f7a79a244ea8238d6d8848b
simon_evers\tSimon Evers\tEnglish, Public School (Received Pronunciation)\thttps://raw.githubusercontent.com/OwenTyme/voice-zero/main/voices/simon_evers.flac\tCC0\t3260517de0220d583890db9da0815bd0d53987b68df4d9301ff04c20a5bb64da
nicholas_james_bridgewater\tNicholas James Bridgewater\tEnglish, Mid-Atlantic\thttps://raw.githubusercontent.com/OwenTyme/voice-zero/main/voices/nicholas_james_bridgewater.flac\tCC0\t835c9293d55461a65ef0dcb34b9fd92e63197bb62baaa69abe90901d3a899802
kristin_hughes_expressive\tKristin Hughes expressive\tAmerican, Iowa; expressive source\thttps://raw.githubusercontent.com/OwenTyme/voice-zero/main/voices/kristin_hughes-expressive.flac\tCC0\teff896ae45a5614ae9e5df46c39a2617e39b9655e5b990ad63ec1d8f966daca0
laura_caldwell\tLaura Caldwell\tAmerican, Southern\thttps://raw.githubusercontent.com/OwenTyme/voice-zero/main/voices/laura_caldwell.flac\tCC0\tb42f27923bc1cdf4f454f3fb8d289e33268e983a734ed6612dcee22de5d9f569
andy\tAndy\tScottish\thttps://raw.githubusercontent.com/OwenTyme/voice-zero/main/voices/andy.flac\tCC0\t2f19517de7b777a4b0d6816a1711a58026305d34e02d05c33effea889322524c
